"Time (s)","Pressure (hPa)"
4.093493040E2,9.930261841E2
4.093893081E2,9.930237427E2
4.094293066E2,9.930211792E2
4.094693075E2,9.930177002E2
4.095093068E2,9.930173950E2
4.095493064E2,9.930170898E2
4.095893097E2,9.930162964E2
4.096293066E2,9.930177612E2
4.096693066E2,9.930169678E2
4.097093096E2,9.930153198E2
4.097492992E2,9.930162964E2
4.097893152E2,9.930157471E2
4.098293069E2,9.930131836E2
4.098693117E2,9.930114136E2
4.099093054E2,9.930096436E2
4.099492974E2,9.930074463E2
4.099893097E2,9.930073242E2
4.100293025E2,9.930084839E2
4.100693070E2,9.930081177E2
4.101093101E2,9.930071411E2
4.101493081E2,9.930059814E2
4.101893071E2,9.930047607E2
4.102293019E2,9.930036011E2
4.102693087E2,9.930039062E2
4.103093040E2,9.930042114E2
4.103493095E2,9.930032349E2
4.103893063E2,9.930053711E2
4.104292959E2,9.930071411E2
4.104693070E2,9.930061646E2
4.105093058E2,9.930067139E2
4.105493099E2,9.930096436E2
4.105893068E2,9.930081177E2
4.106292950E2,9.930045776E2
4.106692931E2,9.930067139E2
4.107092993E2,9.930069580E2
4.107493080E2,9.930015869E2
4.107893070E2,9.929995117E2
4.108293098E2,9.930003052E2
4.108693068E2,9.929973755E2
4.109093006E2,9.929940186E2
4.109493112E2,9.929943237E2
4.109893022E2,9.929941406E2
4.110293057E2,9.929920654E2
4.110693068E2,9.929913330E2
4.111092967E2,9.929926758E2
4.111493066E2,9.929928589E2
4.111893058E2,9.929923706E2
4.112293068E2,9.929918823E2
4.112693088E2,9.929898682E2
4.113092938E2,9.929869995E2
4.113493083E2,9.929869385E2
4.113893030E2,9.929856567E2
4.114293116E2,9.929876099E2
4.114693088E2,9.929901123E2
4.115093086E2,9.929888916E2
4.115493072E2,9.929866333E2
4.115893004E2,9.929845581E2
4.116293063E2,9.929822998E2
4.116692959E2,9.929815674E2
4.117093052E2,9.929811401E2
4.117493060E2,9.929804688E2
4.117892920E2,9.929817505E2
4.118293047E2,9.929821167E2
4.118692996E2,9.929825439E2
4.119093090E2,9.929842529E2
4.119493056E2,9.929840698E2
4.119893019E2,9.929825439E2
4.120293063E2,9.929815674E2
4.120693012E2,9.929801025E2
4.121093106E2,9.929788818E2
4.121493072E2,9.929793091E2
4.121893077E2,9.929794922E2
4.122293071E2,9.929772339E2
4.122693004E2,9.929749756E2
4.123093069E2,9.929762573E2
4.123493010E2,9.929772339E2
4.123893058E2,9.929761963E2
4.124293141E2,9.929770508E2
4.124693038E2,9.929770508E2
4.125093065E2,9.929757690E2
4.125493051E2,9.929754639E2
